Time,Firm_A_X,Firm_A_Y,Firm_B_X,Firm_B_Y
0.0,-30.0,-20.0,25.0,30.0
0.05,-29.791794513343515,-19.861614757556538,24.840181845406143,29.807754954648466
0.1,-29.583588975975392,-19.723229591410554,24.680363625735886,29.6155099633966
0.15000000000000002,-29.375383386843993,-19.584844503144343,24.52054533967558,29.423265027336516
0.2,-29.167177744868393,-19.446459494384257,24.36072698587597,29.23102014758992
0.25,-28.958972048937362,-19.308074566802258,24.200908562951003,29.03877532530912
0.30000000000000004,-28.750766297908285,-19.169689722117525,24.041090069476535,28.846530561678087
0.35000000000000003,-28.54256049060605,-19.031304962098133,23.88127150398904,28.65428585791354
0.4,-28.334354625821888,-18.892920288562806,23.721452864984222,28.462041215266083
0.45,-28.126148702312154,-18.754535703382743,23.56163415091559,28.269796635021414
0.5,-27.91794271879706,-18.616151208483522,23.401815360192977,28.07755211850154
0.55,-27.710407292183156,-18.478212533070668,23.24199649118097,27.885307667066076
0.6000000000000001,-27.504428307976045,-18.3413084782736,23.082177545313236,27.693063279523223
0.65,-27.299994098739262,-18.20543127796747,22.922358528265438,27.50081895115467
0.7000000000000001,-27.097093084624245,-18.070573224184685,22.762539445879842,27.30857467710359
0.75,-26.895713772715112,-17.936726666676748,22.602720304170745,27.116330452370136
0.8,-26.695844756378428,-17.803884012479337,22.44290110933008,26.924086271806768
0.8500000000000001,-26.49747471461785,-17.672037725480585,22.283081867733266,26.731842130113403
0.9,-26.300592411433716,-17.54118032599253,22.123262585945273,26.53959802183237
0.9500000000000001,-26.10518669518744,-17.411304390325714,21.963443270726945,26.347353941343155
1.0,-25.91124649797078,-17.282402550366907,21.803623929041535,26.155109882856962
1.05,-25.718760834979843,-17.15446749315993,21.643804568061555,25.962865840411038
1.1,-25.527718803893894,-17.027491960489545,21.48398519517585,25.770621807862767
1.1500000000000001,-25.33810958425884,-16.901468748468382,21.324703977606184,25.579025121986305
1.2000000000000002,-25.149922433770836,-16.776390710537182,21.166617369168073,25.38886541125372
1.25,-24.96314668691127,-16.652250757890265,21.009716410293027,25.200131898351433
1.3,-24.77777175815293,-16.529041854888,20.853992208609323,25.01281388679571
1.35,-24.593787141360057,-16.40675701865805,20.699435938438025,24.82690076032645
1.4000000000000001,-24.411182409192904,-16.285389318699618,20.546038840292788,24.642381982305505
1.4500000000000002,-24.22994721251678,-16.164931876490673,20.393792220383414,24.459247095119515
1.5,-24.0500712798155,-16.045377865098086,20.242687450123135,24.27748571958721
1.55,-23.87154441660925,-15.926720508790735,20.092715965639577,24.097087554371193
1.6,-23.69435650487682,-15.80895308265548,19.943869267289415,23.918042375394084
1.6500000000000001,-23.518497502482145,-15.692068912216028,19.79613891917665,23.74034003525909
1.7000000000000002,-23.3439574426052,-15.576061373054658,19.649516548674494,23.5639704626749
1.75,-23.170726433177094,-15.460923890436785,19.50399384595087,23.388923661884874
1.8,-22.99879465631946,-15.346649938938329,19.359562563497434,23.215189712100557
1.85,-22.82815236778802,-15.233233042075893,19.21621451566216,23.042758766939404
1.9000000000000001,-22.658789896420327,-15.120666771939707,19.07394157818541,22.87162105386674
1.9500000000000002,-22.490697643587648,-15.00894474882932,18.93273568773949,22.7017668736419
2.0,-22.32386608265097,-14.898060640892039,18.792588841471673,22.533186599768527
2.0500000000000003,-22.15828575842107,-14.788008163764063,18.65349309655062,22.365870677948976
2.1,-21.993947286622646,-14.678781080214321,18.515440569716223,22.199809625542848
2.15,-21.83084135336246,-14.570373199790975,18.378423436832836,22.034994031029537
2.2,-21.668958714601473,-14.462778378470574,18.242433932445824,21.871414553474846
2.25,-21.50829019563094,-14.355990518309845,18.10746434934146,21.709061922001585
2.3000000000000003,-21.348826690552432,-14.250003567100089,17.97350703811012,21.54792693526414
2.35,-21.190559161761755,-14.144811518024172,17.840554406712762,21.388000460926992
2.4000000000000004,-21.033478639436748,-14.040408409316088,17.708598920050623,21.22927343514714
2.45,-20.877576221028917,-13.936788323923077,17.577633099538186,21.071736862060394
2.5,-20.72284307075888,-13.833945389170273,17.44764952267933,20.915381813271562
2.5500000000000003,-20.569270419115604,-13.731873776427875,17.318640822646653,20.760199427348404
2.6,-20.416849562359385,-13.630567700780801,17.19059968786395,20.606180909319427
2.6500000000000004,-20.26557186202857,-13.530021420700836,17.063518861591852,20.453317530175422
2.7,-20.115428744449964,-13.430229237721223,16.93739114151652,20.30160062637475
2.75,-19.966411700252927,-13.331185496113708,16.812209379341482,20.151021599352333
2.8000000000000003,-19.81851228388709,-13.232884582568,16.68796648038248,20.001571915032336
2.85,-19.671722113143723,-13.135320925873632,16.564655403165396,19.853243103344486
2.9000000000000004,-19.526032868680648,-13.038488996604219,16.44226915902716,19.70602675774404
2.95,-19.381436293550767,-12.94238330680407,16.32080081171968,19.559914534735345
3.0,-19.237924192734077,-12.846998409677164,16.20024347701672,19.414898153398955
3.0500000000000003,-19.09548843267323,-12.75232889927845,16.08059032232375,19.27096939492233
3.1,-18.954120940812548,-12.658369410207463,15.96183456629069,19.128120102134012
3.1500000000000004,-18.813813705140532,-12.565114617304246,15.843969478427589,18.986342179041348
3.2,-18.674558773735765,-12.47255923534754,15.726988378723169,18.84562759037161
3.25,-18.536348254316238,-12.38069801875524,15.610884637266238,18.70596836111663
3.3000000000000003,-18.399174313792063,-12.289525761287113,15.495651673869938,18.56735657608079
3.35,-18.263029177821522,-12.199037295749726,15.381282957698811,18.42978437943245
3.4000000000000004,-18.127905130370458,-12.109227493703594,15.267772006898669,18.2932439742587
3.45,-17.993794513274974,-12.020091265172534,15.155112388229226,18.157727622123478
3.5,-17.860689725807404,-11.931623558355179,15.043297716699497,18.023227642628992
3.5500000000000003,-17.728583224245533,-11.843819359338676,14.932321655205936,17.889736412980433
3.6,-17.597467521445065,-11.756673691814514,14.822177914173267,17.757246367553957
3.6500000000000004,-17.46733518641529,-11.6701816167965,14.71286025119803,17.6257499974679
3.7,-17.338178843897925,-11.584338232340835,14.604362470694795,17.495239850157198
3.75,-17.209991173949124,-11.4991386732683,14.496678423545017,17.36570852895104
3.8000000000000003,-17.08276491152462,-11.41457811088852,14.389802006748544,17.237148692653637
3.85,-16.95649284606798,-11.330651752726297,14.283727163077724,17.109553055128174
3.9000000000000004,-16.831167821101943,-11.247354842249996,14.178447880734113,16.98291438488386
3.95,-16.706782733822823,-11.16468265860197,14.073958193007753,16.85722550466608
4.0,-16.58333053469797,-11.082630516331006,13.970252177939013,16.732479291049636
4.05,-16.460804227066223,-11.001193765126775,13.86732395798296,16.608668674035012
4.1000000000000005,-16.339196866741382,-10.920367789556272,13.765167699676242,16.4857866366477
4.15,-16.21850156161864,-10.840148008802242,13.663777613306491,16.363826214540484
4.2,-16.098711471283984,-10.76052987640356,13.563147952584176,16.242780495598765
4.25,-15.979819806626498,-10.681508879997558,13.463273014316938,16.1226426195488
4.3,-15.8618198294536,-10.60308054106429,13.364147138086361,16.003405777568897
4.3500000000000005,-15.744704852109153,-10.525240414672709,13.265764705927168,15.88506321190353
4.4,-15.628468237094443,-10.447984089228747,13.168120142008823,15.767608215480337
4.45,-15.513103396691994,-10.371307186225296,13.071207912319515,15.651034131529999
4.5,-15.39860379259221,-10.295205359994052,12.975022524352525,15.535334353208968
4.55,-15.284962935522818,-10.219674297459218,12.879558526794932,15.420502323225023
4.6000000000000005,-15.17217438488109,-10.144709717893068,12.784810509218664,15.30653153346563
4.65,-15.060231748368816,-10.070307372673337,12.690773101773857,15.193415524629106
4.7,-14.94912868163002,-9.996463045042423,12.597440974884522,15.081147885858524
4.75,-14.8388588878914,-9.92317254986841,12.504808838946492,14.96972225437839
4.800000000000001,-14.72941611760545,-9.850431733407865,12.412871444027628,14.85913231513402
4.8500000000000005,-14.620794168096273,-9.778236473070436,12.321623579570286,14.749371800433646
4.9,-14.512986883208042,-9.706582677185198,12.231060074096,14.640434489593185
4.95,-14.405988152956096,-9.635466284768757,12.141175794912394,14.532314208583685
5.0,-14.29979191318066,-9.564883265295094,12.051965647822287,14.425004829681411
